ID_CLIENT;ORIGINE_LEAD;SOURCE_LEAD;NIVEAU_LEAD;QUALITE_LEAD;CONTACT_PAR_MAIL;CONTACT_PAR_TELEPHONE;STATUT_ACTUEL;CONVERTI;NB_VISITES;DUREE_SUR_SITEWEB;NB_PAGES_VUES_PAR_VISITE;DERNIERE_ACTIVITE;DERNIERE_ACTIVITE_NOTABLE;PAYS;VILLE;SPECIALISATION;TAGS;INDEX_ACTIVITE;INDEX_PROFIL;SCORE_ACTIVITE;SCORE_PROFIL;ANNONCE_VUE;MAGAZINE;ARTICLE_JOURNAL;FORUM;JOURNAUX;PUB_DIGITALE;RECOMMANDATION;Comment avez-vous entendu parler de nous ?;Souhaites-tu recevoir plus d'infos sur notre cours ?;Souhaites-tu recevoir des mises à jour sur nos programmes ?;Souhaites-tu recevoir des mises à jour par message privé ?;Souhaites-tu payer par chèque ?;Souhaites-tu recevoir une copie de notre livre blanc ?
628707;Formulaire Lead Add;Olark Chat;Select;;Non;Non;Sans emploi;0;0.0;0;0.0;Email ouvert;Email ouvert;;Select;Marketing Management;;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
650444;Soumission landing page;Organic Search;Autre leads;Pas du tout pertinent;Non;Non;Sans emploi;0;3.0;519;3.0;Page visitée sur le site;Modifié;India;Autres villes de Maharashtra;Banking, Investment And Insurance;Ne pas suivre de formation continue;Moyen;Elevé;15.0;17.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
631159;Soumission landing page;Google;;;Non;Non;;0;3.0;323;3.0;Email ouvert;Email ouvert;India;Mumbai;Hospitality Management;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
637163;Formulaire Lead Add;Reference;Lead potentiel;Pourrait être pertinent;Non;Non;Sans emploi;1;0.0;0;0.0;Email ouvert;Email ouvert;;Select;Banking, Investment And Insurance;Reviendra après avoir lu le courriel;Moyen;Elevé;15.0;19.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
644599;Soumission landing page;Direct Traffic;;;Non;Non;;0;3.0;258;3.0;Email ouvert;Email ouvert;India;Autres villes;Finance Management;;Moyen;Moyen;14.0;16.0;Non;Non;Non;Non;Non;Non;Non;Etudiant d'une certaine école;Non;Non;Non;Non;Non
607274;API;Olark Chat;Lead potentiel;Pourrait être pertinent;Non;Non;Professionnel en activité;1;0.0;0;0.0;SMS envoyé;SMS envoyé;;Select;Marketing Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
644122;Soumission landing page;Google;Select;;Non;Non;Sans emploi;0;6.0;90;3.0;Conversation Chat;Modifié;India;Autres villes;Banking, Investment And Insurance;Raccroché;Moyen;Moyen;15.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
627039;Formulaire Lead Add;Reference;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;0.0;0;0.0;SMS envoyé;SMS envoyé;;Select;Select;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
653559;Soumission landing page;Google;;;Non;Non;;0;3.0;211;3.0;Email ouvert;Email ouvert;India;Mumbai;Finance Management;;Moyen;Elevé;14.0;18.0;Non;Non;Non;Non;Non;Non;Non;Sources diverses;Non;Non;Non;Non;Non
580707;API;Google;Lead potentiel;;Non;Non;Sans emploi;0;2.0;19;2.0;Conversation Chat;Modifié;India;Select;Select;Déjà un étudiant;Elevé;Moyen;16.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
589639;Soumission landing page;Google;Select;;Non;Non;Sans emploi;0;2.0;702;2.0;Email ouvert;Email ouvert;India;Autres villes de Maharashtra;Marketing Management;Intéressé par d'autres cours;Moyen;Elevé;13.0;17.0;Non;Non;Non;Non;Non;Non;Non;Réseaux sociaux;Non;Non;Non;Non;Non
634823;API;Google;;;Non;Non;;0;3.0;344;1.0;Email ouvert;Modifié;India;;;;Moyen;Moyen;14.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
631429;Soumission landing page;Direct Traffic;;;Non;Non;;0;4.0;44;4.0;Email ouvert;Email ouvert;India;Mumbai;IT Projects Management;;;;;;Non;Non;Non;Non;Non;Non;Non;Recherche en ligne;Non;Non;Non;Non;Oui
656852;API;Olark Chat;Select;;Non;Non;Sans emploi;0;0.0;0;0.0;Conversation Chat;Modifié;;Select;Select;Titulaire d'un diplôme (non éligible);Faible;Moyen;12.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
620633;Soumission landing page;Direct Traffic;;;Oui;Non;Etudiant;0;1.0;496;1.0;Email rejeté;Modifié;India;Mumbai;;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
591219;Soumission landing page;Direct Traffic;Etudiant d'une certaine école;Pas du tout pertinent;Oui;Non;Sans emploi;0;1.0;345;1.0;Email rejeté;Modifié;India;Thane et sa périphérie;Services Excellence;Déjà un étudiant;Moyen;Moyen;15.0;14.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
616183;Soumission landing page;Google;Select;;Non;Non;Sans emploi;0;2.0;1014;2.0;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Finance Management;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Bouche à oreille;Non;Non;Non;Non;Non
653879;Soumission landing page;Google;Lead potentiel;Pourrait être pertinent;Non;Non;Sans emploi;1;7.0;472;1.75;Formulaire soumis sur le site;Modifié;India;Mumbai;Human Resource Management;Reviendra après avoir lu le courriel;Moyen;Elevé;14.0;20.0;Non;Non;Non;Non;Non;Non;Non;Bouche à oreille;Non;Non;Non;Non;Oui
606850;Soumission landing page;Organic Search;Select;Pas sur;Non;Non;Sans emploi;1;5.0;1132;5.0;SMS envoyé;SMS envoyé;India;Mumbai;Finance Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
608175;Soumission landing page;Organic Search;;;Non;Non;;0;3.0;215;3.0;Converti en lead;Modifié;India;Autres villes de Maharashtra;Travel and Tourism;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui
584032;Soumission landing page;Direct Traffic;Lead potentiel;;Non;Non;Sans emploi;0;2.0;389;2.0;Email ouvert;Email ouvert;India;Autres villes de Maharashtra;Supply Chain Management;Appelé;Moyen;Elevé;13.0;19.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
632926;Formulaire Lead Add;Reference;Lead potentiel;Très pertinent;Non;Non;Professionnel en activité;1;;1010;;;Modifié;;Select;Operations Management;Fermé;Moyen;Elevé;14.0;19.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
654189;Importation de lead;Facebook;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;0.0;0;0.0;Email ouvert;Email ouvert;;Mumbai;International Business;Reviendra après avoir lu le courriel;Moyen;Moyen;14.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
597966;API;Google;Select;;Non;Non;Sans emploi;0;3.0;320;3.0;Conversation Chat;Modifié;;Select;Select;;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
582124;API;Olark Chat;Lead potentiel;;Non;Non;Sans emploi;0;0.0;0;0.0;Conversation Chat;Modifié;;Select;Select;Déjà un étudiant;Elevé;Moyen;17.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
587495;Soumission landing page;Google;;;Non;Non;;1;3.0;1391;3.0;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Finance Management;;Moyen;Elevé;13.0;17.0;Non;Non;Non;Non;Non;Non;Non;Etudiant d'une certaine école;Non;Non;Non;Non;Non
