,ID_CLIENT,ORIGINE_LEAD,SOURCE_LEAD,NIVEAU_LEAD,QUALITE_LEAD,CONTACT_PAR_MAIL,CONTACT_PAR_TELEPHONE,STATUT_ACTUEL,CONVERTI,NB_VISITES,DUREE_SUR_SITEWEB,NB_PAGES_VUES_PAR_VISITE,DERNIERE_ACTIVITE,DERNIERE_ACTIVITE_NOTABLE,PAYS,VILLE,SPECIALISATION,TAGS,INDEX_ACTIVITE,INDEX_PROFIL,SCORE_ACTIVITE,SCORE_PROFIL,ANNONCE_VUE,MAGAZINE,ARTICLE_JOURNAL,FORUM,JOURNAUX,PUB_DIGITALE,RECOMMANDATION,Comment avez-vous entendu parler de nous ?,Souhaites-tu recevoir plus d'infos sur notre cours ?,Souhaites-tu recevoir des mises à jour sur nos programmes ?,Souhaites-tu recevoir des mises à jour par message privé ?,Souhaites-tu payer par chèque ?,Souhaites-tu recevoir une copie de notre livre blanc ?,PREDICTED_PROBABILITY,PREDICTION
0,628707,Formulaire Lead Add,Olark Chat,Select,,Non,Non,Sans emploi,0,0.0,0,0.0,Email ouvert,Email ouvert,,Select,Marketing Management,,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.2176401027400519,0
1,650444,Soumission landing page,Organic Search,Autre leads,Pas du tout pertinent,Non,Non,Sans emploi,0,3.0,519,3.0,Page visitée sur le site,Modifié,India,Autres villes de Maharashtra,"Banking, Investment And Insurance",Ne pas suivre de formation continue,Moyen,Elevé,15.0,17.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.019111847901060606,0
2,631159,Soumission landing page,Google,,,Non,Non,,0,3.0,323,3.0,Email ouvert,Email ouvert,India,Mumbai,Hospitality Management,,,,,,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,0.05486077434703448,0
3,637163,Formulaire Lead Add,Reference,Lead potentiel,Pourrait être pertinent,Non,Non,Sans emploi,1,0.0,0,0.0,Email ouvert,Email ouvert,,Select,"Banking, Investment And Insurance",Reviendra après avoir lu le courriel,Moyen,Elevé,15.0,19.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.9532381356018911,1
4,644599,Soumission landing page,Direct Traffic,,,Non,Non,,0,3.0,258,3.0,Email ouvert,Email ouvert,India,Autres villes,Finance Management,,Moyen,Moyen,14.0,16.0,Non,Non,Non,Non,Non,Non,Non,Etudiant d'une certaine école,Non,Non,Non,Non,Non,0.048640773085373235,0
5,607274,API,Olark Chat,Lead potentiel,Pourrait être pertinent,Non,Non,Professionnel en activité,1,0.0,0,0.0,SMS envoyé,SMS envoyé,,Select,Marketing Management,Reviendra après avoir lu le courriel,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.9884140201282965,1
6,644122,Soumission landing page,Google,Select,,Non,Non,Sans emploi,0,6.0,90,3.0,Conversation Chat,Modifié,India,Autres villes,"Banking, Investment And Insurance",Raccroché,Moyen,Moyen,15.0,16.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.03369689691975892,0
7,627039,Formulaire Lead Add,Reference,Select,Pourrait être pertinent,Non,Non,Sans emploi,1,0.0,0,0.0,SMS envoyé,SMS envoyé,,Select,Select,Reviendra après avoir lu le courriel,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.9884140201282965,1
8,653559,Soumission landing page,Google,,,Non,Non,,0,3.0,211,3.0,Email ouvert,Email ouvert,India,Mumbai,Finance Management,,Moyen,Elevé,14.0,18.0,Non,Non,Non,Non,Non,Non,Non,Sources diverses,Non,Non,Non,Non,Non,0.048640773085373235,0
9,580707,API,Google,Lead potentiel,,Non,Non,Sans emploi,0,2.0,19,2.0,Conversation Chat,Modifié,India,Select,Select,Déjà un étudiant,Elevé,Moyen,16.0,16.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.014306685402240603,0
10,589639,Soumission landing page,Google,Select,,Non,Non,Sans emploi,0,2.0,702,2.0,Email ouvert,Email ouvert,India,Autres villes de Maharashtra,Marketing Management,Intéressé par d'autres cours,Moyen,Elevé,13.0,17.0,Non,Non,Non,Non,Non,Non,Non,Réseaux sociaux,Non,Non,Non,Non,Non,0.0454322907362378,0
11,634823,API,Google,,,Non,Non,,0,3.0,344,1.0,Email ouvert,Modifié,India,,,,Moyen,Moyen,14.0,15.0,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,0.056544757079446,0
12,631429,Soumission landing page,Direct Traffic,,,Non,Non,,0,4.0,44,4.0,Email ouvert,Email ouvert,India,Mumbai,IT Projects Management,,,,,,Non,Non,Non,Non,Non,Non,Non,Recherche en ligne,Non,Non,Non,Non,Oui,0.048640773085373235,0
13,656852,API,Olark Chat,Select,,Non,Non,Sans emploi,0,0.0,0,0.0,Conversation Chat,Modifié,,Select,Select,Titulaire d'un diplôme (non éligible),Faible,Moyen,12.0,15.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.03331129549555478,0
14,620633,Soumission landing page,Direct Traffic,,,Oui,Non,Etudiant,0,1.0,496,1.0,Email rejeté,Modifié,India,Mumbai,,,,,,,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,0.03291729798059471,0
15,591219,Soumission landing page,Direct Traffic,Etudiant d'une certaine école,Pas du tout pertinent,Oui,Non,Sans emploi,0,1.0,345,1.0,Email rejeté,Modifié,India,Thane et sa périphérie,Services Excellence,Déjà un étudiant,Moyen,Moyen,15.0,14.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.0060325328136664,0
16,616183,Soumission landing page,Google,Select,,Non,Non,Sans emploi,0,2.0,1014,2.0,SMS envoyé,SMS envoyé,India,Thane et sa périphérie,Finance Management,Appelé,,,,,Non,Non,Non,Non,Non,Non,Non,Bouche à oreille,Non,Non,Non,Non,Non,0.08193558381998231,0
17,653879,Soumission landing page,Google,Lead potentiel,Pourrait être pertinent,Non,Non,Sans emploi,1,7.0,472,1.75,Formulaire soumis sur le site,Modifié,India,Mumbai,Human Resource Management,Reviendra après avoir lu le courriel,Moyen,Elevé,14.0,20.0,Non,Non,Non,Non,Non,Non,Non,Bouche à oreille,Non,Non,Non,Non,Oui,0.92386097798836,1
18,606850,Soumission landing page,Organic Search,Select,Pas sur,Non,Non,Sans emploi,1,5.0,1132,5.0,SMS envoyé,SMS envoyé,India,Mumbai,Finance Management,Reviendra après avoir lu le courriel,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.9845166930163398,1
19,608175,Soumission landing page,Organic Search,,,Non,Non,,0,3.0,215,3.0,Converti en lead,Modifié,India,Autres villes de Maharashtra,Travel and Tourism,,,,,,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Oui,0.030449095446490642,0
20,584032,Soumission landing page,Direct Traffic,Lead potentiel,,Non,Non,Sans emploi,0,2.0,389,2.0,Email ouvert,Email ouvert,India,Autres villes de Maharashtra,Supply Chain Management,Appelé,Moyen,Elevé,13.0,19.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.01718961423900833,0
21,632926,Formulaire Lead Add,Reference,Lead potentiel,Très pertinent,Non,Non,Professionnel en activité,1,,1010,,,Modifié,,Select,Operations Management,Fermé,Moyen,Elevé,14.0,19.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.9863685817365951,1
22,654189,Importation de lead,Facebook,Lead potentiel,Très pertinent,Non,Non,Sans emploi,1,0.0,0,0.0,Email ouvert,Email ouvert,,Mumbai,International Business,Reviendra après avoir lu le courriel,Moyen,Moyen,14.0,16.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.9585054149663388,1
23,597966,API,Google,Select,,Non,Non,Sans emploi,0,3.0,320,3.0,Conversation Chat,Modifié,,Select,Select,,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.038082425894971926,0
24,582124,API,Olark Chat,Lead potentiel,,Non,Non,Sans emploi,0,0.0,0,0.0,Conversation Chat,Modifié,,Select,Select,Déjà un étudiant,Elevé,Moyen,17.0,16.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.014134989844055729,0
25,587495,Soumission landing page,Google,,,Non,Non,,1,3.0,1391,3.0,SMS envoyé,SMS envoyé,India,Thane et sa périphérie,Finance Management,,Moyen,Elevé,13.0,17.0,Non,Non,Non,Non,Non,Non,Non,Etudiant d'une certaine école,Non,Non,Non,Non,Non,0.7584940757872152,1
26,590478,Soumission landing page,Direct Traffic,Etudiant d'une certaine école,Pas du tout pertinent,Non,Non,Sans emploi,0,1.0,281,1.0,Converti en lead,Modifié,India,Autres villes de Maharashtra,Human Resource Management,Déjà un étudiant,Elevé,Elevé,16.0,17.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.007800552781775826,0
27,655375,Soumission landing page,Google,Select,Pourrait être pertinent,Non,Non,Sans emploi,1,3.0,267,3.0,SMS envoyé,Modifié,India,Thane et sa périphérie,Finance Management,Reviendra après avoir lu le courriel,Moyen,Elevé,15.0,17.0,Non,Non,Non,Non,Non,Non,Non,Bouche à oreille,Non,Non,Non,Non,Non,0.9448872918438451,1
28,659875,Soumission landing page,Google,Select,Pourrait être pertinent,Non,Non,Sans emploi,1,1.0,157,1.0,Converti en lead,Modifié,India,Autres villes de Maharashtra,Hospitality Management,Reviendra après avoir lu le courriel,Moyen,Moyen,15.0,14.0,Non,Non,Non,Non,Non,Non,Non,Bouche à oreille,Non,Non,Non,Non,Non,0.8425326671287001,1
29,646673,Soumission landing page,Direct Traffic,Select,,Non,Non,Sans emploi,0,2.0,1497,2.0,SMS envoyé,Modifié,India,Autres villes,Finance Management,Appelé,Moyen,Moyen,14.0,16.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.11820242174137664,0
30,655011,API,Referral Sites,Select,,Non,Non,Sans emploi,0,11.0,101,5.5,Email ouvert,Modifié,India,Select,Select,Intéressé par d'autres cours,Moyen,Moyen,15.0,13.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.01691025102897973,0
31,644111,API,Organic Search,,,Non,Non,,0,2.0,1978,2.0,SMS envoyé,Modifié,India,,,,Moyen,Moyen,13.0,15.0,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,0.4928443730347877,0
32,579701,Soumission landing page,Google,Lead potentiel,,Non,Non,Sans emploi,0,2.0,870,2.0,Email ouvert,Email ouvert,India,Mumbai,Human Resource Management,Reviendra après avoir lu le courriel,Moyen,Elevé,13.0,20.0,Non,Non,Non,Non,Non,Non,Non,Recherche en ligne,Non,Non,Non,Non,Non,0.8900306048599288,1
33,613809,Soumission landing page,Google,Autre leads,Pas sur,Non,Non,Sans emploi,0,6.0,324,3.0,Email ouvert,Email ouvert,India,Mumbai,"Banking, Investment And Insurance",,,,,,Non,Non,Non,Non,Non,Non,Non,Autre,Non,Non,Non,Non,Non,0.04501920430485408,0
34,632374,Soumission landing page,Direct Traffic,Select,Pourrait être pertinent,Non,Non,Professionnel en activité,1,4.0,1655,1.33,SMS envoyé,SMS envoyé,India,Mumbai,Business Administration,Reviendra après avoir lu le courriel,,,,,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Oui,0.985684032451092,1
35,594366,API,Google,,,Non,Non,,1,4.0,699,4.0,SMS envoyé,SMS envoyé,India,Thane et sa périphérie,IT Projects Management,,,,,,Non,Non,Non,Non,Non,Non,Non,Etudiant d'une certaine école,Non,Non,Non,Non,Non,0.5881516963341711,1
36,587384,Formulaire Lead Add,Reference,Select,,Oui,Non,Sans emploi,0,0.0,0,0.0,SMS envoyé,SMS envoyé,,Select,Select,Appelé,Moyen,Elevé,13.0,17.0,Non,Non,Non,Non,Non,Non,Non,Select,Non,Non,Non,Non,Non,0.1045859758885583,0
37,605767,Soumission landing page,Direct Traffic,,,Non,Non,,1,8.0,1594,2.67,SMS envoyé,SMS envoyé,India,Autres villes métropolitaines,Human Resource Management,,,,,,Non,Non,Non,Non,Non,Non,Non,Recherche en ligne,Non,Non,Non,Non,Oui,0.7859739972934943,1
